metabolite,super_pathway,sub_pathway,rho_gnn,rho_kernel_mkl,rho_lasso,rho_mirth,rho_ridge,rho_unigraph,rho_unitedmet,rho_xgboost,train_r2_gnn,obs_rate_gnn,coef_var_gnn,max_gene_corr_gnn,network_mapped_gnn,posterior_var_unigraph,obs_rate,coef_var,max_gene_corr,network_mapped
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),Lipid,Plasmalogen (PE-P),-0.08844908799336053,-0.05641091327719481,-0.08154019308422153,-0.056366430134152115,-0.05965125854475288,-0.0747255634874982,-0.07119079264010095,-0.07507204091925206,0.37500012329031535,0.23167539267015708,0.10136463189744939,0.8168287124988672,0.0,55.526935078534024,0.23167302284371508,0.10140378769429494,0.8075562624449907,0.0
1-(1-enyl-stearoyl)-GPE (P-18:0),,,-0.06879580655834444,-0.04788574791973968,-0.04089972363974265,-0.049012760256071264,-0.046449571189366524,-0.07384606824653563,-0.07899593879131042,-0.04961146743057416,0.37500012329031535,0.23167539267015708,0.10265065472226956,0.8168768970242435,0.0,53.13259371727749,0.23167302284371508,0.10278700458126733,0.8077662646796281,0.0
1-arachidonoyl-GPC (20:4n6),,,0.01999549773663531,0.020683487446704053,0.031684703011179774,0.02313667828777694,0.020394237696147566,0.0003421535274776566,-0.010099726117524611,0.013985679250731183,0.37500012329031535,0.5327225130890052,1.4232694619300132,0.32623297279899843,0.0,67.86123455497385,0.5327144086187192,1.4325573536232332,0.23901822318542384,0.0
1-arachidonoyl-GPE (20:4n6),,,0.06311249724670341,0.1022805686246779,0.15718727909749444,0.10439276944547903,0.09925099995209623,0.10921332288050775,0.07628989798711593,0.10804522455428857,0.37500012329031535,0.7683246073298429,6.214053395260299,0.0623319364354791,0.0,71.95759581151832,0.7683231249277708,6.264075535374041,0.07892914620432184,0.0
1-arachidonoyl-GPI (20:4),,,0.044911260694559196,0.06149786570208677,0.060828149463881105,0.06117421319056567,0.06951492043390087,0.047080235070691236,0.050997202655283985,-0.008139055087494063,0.37500012329031535,0.6361256544502618,26.20477406405095,0.12594524895898868,0.0,63.394750785340335,0.6361210627014394,19.291654720198384,0.10595349800206173,0.0
1-arachidonylglycerol,Lipid,Monoacylglycerol,0.0900889061995738,0.070870877819016,0.09734188907410711,0.08001611644290947,0.10198891061054455,0.07591173687350349,0.0882668960301101,0.09637515910264119,0.37500012329031535,0.47382198952879584,1.134651353285127,0.3819663408719133,0.0,53.53405654450266,0.4738164027890135,1.1432286716913531,0.34037093090015996,0.0
1-arachidoylglycerophosphocholine,Lipid,Lysolipid,0.24687820003520716,0.23655136601108498,0.23793723053327245,0.23768420848249444,0.23534520912619283,0.2460589698624811,0.25825200089121036,0.23882864040222887,0.37500012329031535,0.21596858638743455,1.0729018328389295,0.478565695361114,0.0,66.31107748691099,0.21596748719134018,1.0738476968609467,0.4173205371895401,0.0
1-carboxyethylhistidine,Amino Acid,Histidine Metabolism,-0.03751500602353175,-0.021907714911723452,-0.01451526543718512,-0.021169656212163365,-0.015243650190018124,-0.03716582124308558,-0.031291949167913,-0.008313377485098384,0.37500012329031535,0.06806282722513088,0.08490201429855337,0.5827631440203894,0.0,63.462996858638746,0.06806117338880542,0.08501069119823011,0.5798246919623705,0.0
1-carboxyethylisoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",-0.08638222738410072,-0.05543374382110843,-0.05984537871420255,-0.055578618138258214,-0.058891919877483066,-0.09235718356929305,-0.09839498136056449,-0.07789401633158823,0.37500012329031535,0.23167539267015708,0.06982810604979908,0.830700543531179,0.0,45.89207120418849,0.23167302284371508,0.06988076105476154,0.8198837440252703,0.0
1-carboxyethylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",-0.09006604087876753,-0.062165594752848885,-0.042426111136223216,-0.06290735163093546,-0.06105410566731829,-0.09199804499512332,-0.09496152430273795,-0.058185569859571844,0.37500012329031535,0.23167539267015708,0.059292590657020805,0.8297333567760685,0.0,57.48259790575915,0.23167302284371508,0.05945676976931196,0.8189505451774534,0.0
