model,model_display,confidence_measure,threshold,n_metabolites,spearman_mean,spearman_median
ridge,Ridge,max_gene_corr,0.25,587,0.10833878567196827,0.1102109564245301
ridge,Ridge,max_gene_corr,0.5,1175,0.03808011912693118,0.09269632860732903
ridge,Ridge,max_gene_corr,0.75,1762,0.013273831689445528,0.004669384130690927
ridge,Ridge,max_gene_corr,0.9,2115,0.01641020848822056,0.018676838943250163
ridge,Ridge,max_gene_corr,1.0,2350,0.015373996491034988,0.01974664877703207
ridge,Ridge,obs_rate,0.05,117,0.08799738486520726,0.09370835916256172
ridge,Ridge,obs_rate,0.1,235,0.06508073420303079,0.04516730973915506
ridge,Ridge,obs_rate,0.25,587,0.0313419274144952,0.03624846431590369
ridge,Ridge,obs_rate,0.5,1175,0.004344183746606051,-0.0123634266837527
ridge,Ridge,obs_rate,0.75,1762,0.038399648193684674,0.05813107979708644
ridge,Ridge,obs_rate,0.9,2115,0.03236550235091041,0.030837020953660886
ridge,Ridge,obs_rate,1.0,2350,0.015373996491034988,0.01974664877703207
ridge,Ridge,coef_var,0.05,117,0.0009455944536855328,0.018645000445646976
ridge,Ridge,coef_var,0.1,235,0.010439612801012927,0.02782445522190757
ridge,Ridge,coef_var,0.25,587,0.03581167005332485,0.04729612394988311
ridge,Ridge,coef_var,0.5,1175,0.006312832640078531,-0.00032048059428894184
ridge,Ridge,coef_var,0.75,1762,0.0002631726811832126,-0.0074024408711257
ridge,Ridge,coef_var,0.9,2115,0.007932462644684043,0.006006789130543447
ridge,Ridge,coef_var,1.0,2350,0.015373996491034988,0.01974664877703207
unigraph,UniGraph,train_r2,0.05,117,-0.0344767905055622,-0.04052193315280333
unigraph,UniGraph,train_r2,0.1,235,-0.030651744766425047,-0.03732916119586033
unigraph,UniGraph,train_r2,0.25,589,-0.02644396168476472,-0.03732916119586033
unigraph,UniGraph,train_r2,0.5,1179,-0.024336164278323094,-0.03484776234115006
unigraph,UniGraph,train_r2,0.75,1769,0.012911384481861419,0.021934575959490048
unigraph,UniGraph,train_r2,0.9,2123,0.010125844197513558,0.018751496094856806
unigraph,UniGraph,train_r2,1.0,2359,0.00656677545822243,0.012136258987613915
unigraph,UniGraph,max_gene_corr,0.05,117,0.09923543567166315,0.10704677911994377
unigraph,UniGraph,max_gene_corr,0.1,235,0.1032566446944696,0.10832944303770924
unigraph,UniGraph,max_gene_corr,0.25,589,0.10448738076069057,0.10844992142402203
unigraph,UniGraph,max_gene_corr,0.5,1179,0.028748981106674478,0.09547461300651756
unigraph,UniGraph,max_gene_corr,0.75,1769,0.005658856790492327,-0.011274195471072284
unigraph,UniGraph,max_gene_corr,0.9,2123,0.007753565416847529,0.01340756295065195
unigraph,UniGraph,max_gene_corr,1.0,2359,0.00656677545822243,0.012136258987613915
unigraph,UniGraph,obs_rate,0.05,117,0.06646856841554034,0.061906305000348195
unigraph,UniGraph,obs_rate,0.1,235,0.04420069861399664,0.0232035549238571
unigraph,UniGraph,obs_rate,0.25,589,0.012837354107642142,0.016857037159299208
unigraph,UniGraph,obs_rate,0.5,1179,-0.01220769434790552,-0.03187019329015012
unigraph,UniGraph,obs_rate,0.75,1769,0.027312814427533316,0.047080235070691236
unigraph,UniGraph,obs_rate,0.9,2123,0.020865995939988863,0.023454572423335703
unigraph,UniGraph,obs_rate,1.0,2359,0.006566775458222424,0.012136258987613915
unigraph,UniGraph,coef_var,0.05,117,-0.020434025132150303,-0.004514451884045996
unigraph,UniGraph,coef_var,0.1,235,0.0005897123563074462,0.01350331725847325
unigraph,UniGraph,coef_var,0.25,589,0.02153309693824856,0.0298701085340854
unigraph,UniGraph,coef_var,0.5,1179,-0.006986473777255941,-0.0186608925588485
unigraph,UniGraph,coef_var,0.75,1769,-0.01088087299931147,-0.02760186253345417
unigraph,UniGraph,coef_var,0.9,2123,-0.0017325794832190977,-0.011213173931759392
unigraph,UniGraph,coef_var,1.0,2359,0.006566775458222426,0.012136258987613915
unigraph,UniGraph,posterior_var,0.05,117,-0.0679171446754428,-0.11296592939689874
unigraph,UniGraph,posterior_var,0.1,235,-0.05897236471058088,-0.1121579716777552
unigraph,UniGraph,posterior_var,0.25,589,-0.024878185188108144,-0.03911273202022397
unigraph,UniGraph,posterior_var,0.5,1179,0.004893303857630944,0.017897753113827495
unigraph,UniGraph,posterior_var,0.75,1769,0.005597134195021732,0.014170785594055829
unigraph,UniGraph,posterior_var,0.9,2123,0.005300902582324535,0.010131864212645563
unigraph,UniGraph,posterior_var,1.0,2359,0.006566775458222428,0.012136258987613915
unitedmet,UnitedMet,train_r2,0.05,117,-0.03357665899445522,-0.03692936788006763
unitedmet,UnitedMet,train_r2,0.1,235,-0.028918576284671087,-0.03692936788006763
unitedmet,UnitedMet,train_r2,0.25,589,-0.025914232185122083,-0.03580487984159845
unitedmet,UnitedMet,train_r2,0.5,1179,-0.023332964298749256,-0.03339401478952037
