rank,metabolite,super_pathway,sub_pathway,rho_gnn,rho_kernel_mkl,rho_lasso,rho_mirth,rho_ridge,rho_unigraph,rho_unitedmet,rho_xgboost,obs_rate,max_gene_corr,coef_var,network_mapped
34,1-stearoyl-GPC (18:0),Lipid,Lysophospholipid,0.15053963477908813,0.2121076428543862,0.19713564448211984,0.2094333752276945,0.18749169207880947,0.18434162884808394,0.16671249565515117,0.14626718416708226,0.8547067812062612,0.15522664629260072,5.390808203938323,1.0
35,piperine,Xenobiotics,Food Component/Plant,0.1351783009469246,0.17247899091829472,0.1965879278582208,0.16899813737170014,0.17319378764294624,0.1677187119840425,0.19235764378679446,0.17854749047763102,0.5994722446935552,0.5149027235619005,1.0244637786844744,0.0
36,histamine,Amino acid,Histidine Metabolism,0.11669607204517397,0.1703891278499026,0.19416753656561367,0.16947850937018422,0.2217130297938105,0.12524548308318423,0.13390076834387832,0.21648690481698735,0.8442377081808493,0.6411879907233574,0.9270805343443351,1.0
37,heme2,,,0.2121354056613078,0.19378080822850388,0.19324469071986292,0.19311017537686817,0.19832277855851968,0.20689846900592818,0.20095725016299618,0.19266405874078002,0.11910320120189528,0.38255219037733806,1.0916379652986339,0.0
38,seryltyrosine,Peptide,Dipeptide,0.20123774036364142,0.19071261433568693,0.19255373234719844,0.1911912299369585,0.18919507667508967,0.19859593007059814,0.1978172363071596,0.21573685397436926,0.11910320120189528,0.3414050210465418,1.2956719719706273,0.0
39,"4-androsten-3beta,17beta-diol disulfate (1)",Lipid,Sterol/Steroid,0.08552075805354753,0.15689105063420775,0.19225345183610246,0.15663531000154085,0.1297248772956007,0.17726256500661128,0.1403619739589962,0.20658820572874814,0.8547067812062612,0.1334839110683137,7.8148308015763455,1.0
40,behenate (22:0),Lipid,Long Chain Fatty Acid,0.19419021733556238,0.1854324948389771,0.1920209770357348,0.17939946754561353,0.1756453494043801,0.1879703111328609,0.20580109074411235,0.1910464303426998,0.19894962569179606,0.5673288974999577,0.6344779992467595,1.0
41,acetylcholine,Lipid,Neurotransmitter,0.16066661147918004,0.18303997702416883,0.19088815154123384,0.18262634924785615,0.17613007911702488,0.15407369074528818,0.16132837362335756,0.1932810881049374,0.47773925549263585,0.14159320243098628,19.498727379688514,1.0
42,cystine,Amino acid,"Cysteine, methionine, SAM, taurine metabolism",0.1566916508651748,0.14897948109620085,0.19039606336623682,0.14621268361751744,0.17097331755737888,0.1747151569617455,0.15820983259776591,0.18487174236362397,0.8547067812062612,0.13864785234291552,7.508579241666612,1.0
43,glutamine-leucine,Peptide,Dipeptide,0.18930240963467268,0.18341991828190155,0.18856908625391855,0.182596637198769,0.17847002153138566,0.183485934683057,0.19616511790693122,0.19119683109512273,0.20025553115810832,0.3461766759990388,1.1360369036666425,0.0
44,adenosine 5'-diphosphate (ADP),Nucleotide,"Purine Metabolism, Adenine containing",0.17628150510514812,0.18317217359785454,0.184808170470225,0.177100027972207,0.17482556813941688,0.17588003156516555,0.1816083654826887,0.20760283230323004,0.5235538092119625,0.5385975200131806,1.0330169965828617,1.0
45,ribose 5-phosphate,Carbohydrate,"Nucleotide sugars, pentose metabolism",0.18844259244688574,0.19528643093928288,0.17828355159351134,0.1881919248077057,0.1683250843787632,0.1825037959168203,0.18483783299722115,0.1896652104068949,0.45941677260295083,0.36156507015220174,1.097278715373778,1.0
46,phenylacetylglutamine,Amino acid,Phenylalanine and Tyrosine Metabolism,0.17974602452096144,0.18733580711359646,0.1765959722436238,0.18762743950696723,0.21173242310952328,0.20179327802949382,0.2087993388605204,0.1408561190539275,0.8547067812062612,0.1067081273871436,17.0611848974192,1.0
47,gamma-glutamyltyrosine,Peptide,Gamma-glutamyl Amino Acid,0.1308792447917308,0.18219661302178414,0.17183055704731848,0.1762647255653325,0.19568169652919554,0.15954595798221807,0.1682372353999556,0.23707782710294742,0.7539209265893653,0.6069393121853482,0.7441974581629495,0.0
48,3-methylhistidine,Amino acid,Histidine Metabolism,0.2216769527163854,0.1523160389178318,0.17076799887656471,0.15598772881727588,0.15448507594256508,0.18221486611837084,0.14901007798964694,0.1831110745168468,0.8088999319439628,0.5418647200370014,0.9226432831398036,0.0
49,N-acetyl-aspartyl-glutamate (NAAG),Amino acid,Glutamate Metabolism,0.15649512611285857,0.18305564362375004,0.16987320059350575,0.18494676601947896,0.193969201109327,0.16552182816827746,0.1925687818390392,0.15788272794187216,0.8547067812062612,0.11850387204763142,52.213554735798034,0.0
50,4-vinylphenol sulfate,Xenobiotics,Benzoate Metabolism,0.14735836046637196,0.1710757249211763,0.1693652472180594,0.17310841575102112,0.16184727995458453,0.1686645603013404,0.17276271762366546,0.1681626955048488,0.1871643745907007,0.48564041722833845,0.9211182683775091,0.0
